,City,Cloudiness,Country,Humidity,Lat,Lng,Max_temp,Wind_speed
151,seredka,69.0,RU,87.0,58.06,38.14,54.33,1.99
152,gamba,86.0,CN,68.0,28.28,88.52,43.35,5.99
153,anadyr,40.0,RU,87.0,64.73,177.51,57.2,6.71
154,dikson,90.0,RU,71.0,73.51,80.55,42.09,6.8
155,gonen,20.0,IL,61.0,33.12,35.65,80.6,6.93
156,dunedin,43.0,NZ,79.0,-45.87,170.5,39.99,5.01
157,cleveland,1.0,US,50.0,41.51,-81.69,84.0,4.7
158,sorland,75.0,NO,81.0,67.67,12.69,50.0,6.93
159,kapiri mposhi,0.0,ZM,49.0,-13.97,28.68,60.09,8.37
160,ancud,75.0,CL,81.0,-41.87,-73.83,48.2,10.29
161,kodiak,40.0,US,14.0,39.95,-94.76,93.0,8.05
162,kelvington,67.0,CA,83.0,52.16,-103.52,70.89,3.33
163,vila franca do campo,20.0,PT,64.0,37.72,-25.43,75.2,10.29
164,ankpa,83.0,NG,90.0,7.37,7.63,75.39,4.07
165,ulladulla,14.0,AU,54.0,-35.36,150.48,54.0,25.28
166,esperance,0.0,AU,93.0,-33.86,121.89,44.6,5.82
167,kubuta,20.0,NG,70.0,12.03,8.66,84.2,6.93
168,khatanga,27.0,RU,62.0,71.98,102.47,47.49,10.0
169,san patricio,100.0,PY,96.0,-26.98,-56.83,63.87,7.05
170,waipawa,17.0,NZ,87.0,-39.94,176.59,46.0,14.0
171,turayf,0.0,SA,19.0,31.68,38.65,86.0,6.93
172,tromso,75.0,NO,71.0,69.65,18.96,51.8,11.41
173,pasto,40.0,CO,77.0,1.21,-77.28,68.0,5.82
174,surat thani,30.0,TH,92.0,9.14,99.33,75.03,3.18
175,bandipur,100.0,IN,94.0,11.67,76.63,65.31,0.78
176,khor,98.0,RU,92.0,47.88,134.96,59.19,7.14
177,vysha,0.0,RU,72.0,53.85,42.38,57.03,3.04
178,sterling,75.0,US,43.0,39.0,-77.4,93.99,11.41
179,galle,79.0,GN,87.0,10.08,-12.83,77.01,3.58
180,praia da vitoria,40.0,PT,64.0,38.73,-27.07,75.2,7.2
181,jalu,0.0,LY,26.0,29.03,21.55,92.67,12.97
